date,home_team,home_score,away_score,away_team
06-11-2022,Tottenham,1,1,Liverpool
12-11-2022,Tottenham,4,4,Leeds
26-12-2022,Brentford,?,?,Tottenham
07-08-2022,West Ham,0,0,Man City
14-08-2022,Nott'm Forest,1,1,West Ham
21-08-2022,West Ham,0,0,Brighton
28-08-2022,Aston Villa,0,0,West Ham
31-08-2022,West Ham,1,1,Tottenham
03-09-2022,Chelsea,2,2,West Ham
18-09-2022,Everton,1,1,West Ham
01-10-2022,West Ham,2,2,Wolves
09-10-2022,West Ham,3,3,Fulham
16-10-2022,Southampton,1,1,West Ham
19-10-2022,Liverpool,1,1,West Ham
24-10-2022,West Ham,2,2,Bournemouth
30-10-2022,Man United,1,1,West Ham
06-11-2022,West Ham,1,1,Crystal Palace
12-11-2022,West Ham,0,0,Leicester
26-12-2022,Arsenal,?,?,West Ham
06-08-2022,Leeds,2,2,Wolves
13-08-2022,Wolves,0,0,Fulham
20-08-2022,Tottenham,1,1,Wolves
28-08-2022,Wolves,1,1,Newcastle
31-08-2022,Bournemouth,0,0,Wolves
03-09-2022,Wolves,1,1,Southampton
17-09-2022,Wolves,0,0,Man City
01-10-2022,West Ham,2,2,Wolves
08-10-2022,Chelsea,3,3,Wolves
15-10-2022,Wolves,1,1,Nott'm Forest
18-10-2022,Crystal Palace,2,2,Wolves
23-10-2022,Wolves,0,0,Leicester
29-10-2022,Brentford,1,1,Wolves
05-11-2022,Wolves,2,2,Brighton
12-11-2022,Wolves,0,0,Arsenal
26-12-2022,Everton,?,?,Wolves
