date,home_team,home_score,away_score,away_team
09-11-2022,Sevilla,1,1,Sociedad
30-12-2022,Celta,?,?,Sevilla
14-08-2022,Cadiz,0,0,Sociedad
21-08-2022,Sociedad,1,1,Barcelona
27-08-2022,Elche,0,0,Sociedad
03-09-2022,Sociedad,1,1,Ath Madrid
11-09-2022,Getafe,2,2,Sociedad
18-09-2022,Sociedad,2,2,Espanol
02-10-2022,Girona,3,3,Sociedad
09-10-2022,Sociedad,1,1,Villarreal
16-10-2022,Celta,1,1,Sociedad
19-10-2022,Sociedad,1,1,Mallorca
22-10-2022,Valladolid,1,1,Sociedad
30-10-2022,Sociedad,0,0,Betis
06-11-2022,Sociedad,1,1,Valencia
09-11-2022,Sevilla,1,1,Sociedad
31-12-2022,Sociedad,?,?,Osasuna
14-08-2022,Valencia,1,1,Girona
21-08-2022,Ath Bilbao,1,1,Valencia
29-08-2022,Valencia,0,0,Ath Madrid
04-09-2022,Valencia,5,5,Getafe
10-09-2022,Vallecano,2,2,Valencia
17-09-2022,Valencia,3,3,Celta
02-10-2022,Espanol,2,2,Valencia
07-10-2022,Osasuna,1,1,Valencia
15-10-2022,Valencia,2,2,Elche
18-10-2022,Sevilla,1,1,Valencia
22-10-2022,Valencia,1,1,Mallorca
29-10-2022,Valencia,0,0,Barcelona
06-11-2022,Sociedad,1,1,Valencia
10-11-2022,Valencia,3,3,Betis
31-12-2022,Villarreal,?,?,Valencia
13-08-2022,Valladolid,0,0,Villarreal
19-08-2022,Sevilla,1,1,Valladolid
28-08-2022,Barcelona,4,4,Valladolid
05-09-2022,Valladolid,1,1,Almeria
09-09-2022,Girona,2,2,Valladolid
16-09-2022,Valladolid,0,0,Cadiz
01-10-2022,Getafe,2,2,Valladolid
09-10-2022,Valladolid,0,0,Betis
16-10-2022,Espanol,1,1,Valladolid
19-10-2022,Valladolid,4,4,Celta
22-10-2022,Valladolid,1,1,Sociedad
30-10-2022,Osasuna,2,2,Valladolid
05-11-2022,Valladolid,2,2,Elche
08-11-2022,Ath Bilbao,3,3,Valladolid
30-12-2022,Valladolid,?,?,Real Madrid
13-08-2022,Barcelona,0,0,Vallecano
19-08-2022,Espanol,0,0,Vallecano
27-08-2022,Vallecano,0,0,Mallorca
04-09-2022,Osasuna,2,2,Vallecano
10-09-2022,Vallecano,2,2,Valencia
17-09-2022,Ath Bilbao,3,3,Vallecano
03-10-2022,Vallecano,2,2,Elche
08-10-2022,Almeria,3,3,Vallecano
14-10-2022,Vallecano,0,0,Getafe
18-10-2022,Ath Madrid,1,1,Vallecano
22-10-2022,Vallecano,5,5,Cadiz
29-10-2022,Sevilla,0,0,Vallecano
07-11-2022,Vallecano,3,3,Real Madrid
10-11-2022,Vallecano,0,0,Celta
29-12-2022,Girona,?,?,Vallecano
13-08-2022,Valladolid,0,0,Villarreal
21-08-2022,Ath Madrid,0,0,Villarreal
28-08-2022,Getafe,0,0,Villarreal
04-09-2022,Villarreal,4,4,Elche
11-09-2022,Betis,1,1,Villarreal
18-09-2022,Villarreal,1,1,Sevilla
01-10-2022,Cadiz,0,0,Villarreal
09-10-2022,Sociedad,1,1,Villarreal
17-10-2022,Villarreal,2,2,Osasuna
20-10-2022,Barcelona,3,3,Villarreal
23-10-2022,Villarreal,2,2,Almeria
30-10-2022,Ath Bilbao,1,1,Villarreal
06-11-2022,Villarreal,0,0,Mallorca
09-11-2022,Espanol,0,0,Villarreal
31-12-2022,Villarreal,?,?,Valencia
